"name" "type" "expected_age" "hdi_95" "lower_95_hdr" "upper_95_hdr" "agreement" "overall_agreement" "model_agreement" "modelname"
"Corsica_neo_start" "date" -5672.96323678143 260 -5804.5 -5544.5 NA NA NA "corsica_neo"
"25" "date" -5172.67719558392 285 -5304.5 -5019.5 67.6 NA NA "corsica_neo"
"26" "date" -5249.4514260095 400 -5464.5 -5064.5 106.4 NA NA "corsica_neo"
"27" "date" -5301.16666790516 350 -5469.5 -5119.5 107.2 NA NA "corsica_neo"
"28" "date" -5343.13592799246 375 -5514.5 -5139.5 103.5 NA NA "corsica_neo"
"29" "date" -5367.05741849911 310 -5524.5 -5214.5 101.8 NA NA "corsica_neo"
"30" "date" -5383.13018982512 310 -5524.5 -5214.5 101.1 NA NA "corsica_neo"
"31" "date" -5390.9421451976 325 -5544.5 -5219.5 101.2 NA NA "corsica_neo"
"32" "date" -5390.80309958268 330 -5549.5 -5219.5 101.1 NA NA "corsica_neo"
"33" "date" -5268.01927436104 375 -5464.5 -5089.5 107.9 NA NA "corsica_neo"
"37" "date" -5390.72255833632 330 -5549.5 -5219.5 101.3 NA NA "corsica_neo"
"38" "date" -5554.76242759243 300 -5694.5 -5394.5 105 NA NA "corsica_neo"
"241" "date" -5625.37054746158 250 -5734.5 -5484.5 71.2 NA NA "corsica_neo"
"470" "date" -5305.35228409561 350 -5474.5 -5124.5 106.8 NA NA "corsica_neo"
"639" "date" -5221.34494092685 320 -5369.5 -5049.5 100.8 NA NA "corsica_neo"
"644" "date" -5179.08017028395 285 -5309.5 -5024.5 82.4 NA NA "corsica_neo"
"645" "date" -5275.75853527798 375 -5469.5 -5094.5 108.3 NA NA "corsica_neo"
"646" "date" -5470.49225031939 285 -5614.5 -5329.5 101.2 NA NA "corsica_neo"
"647" "date" -5605.18237175793 225 -5709.5 -5484.5 88.3 NA NA "corsica_neo"
"776" "date" -5383.38487279162 310 -5524.5 -5214.5 101.3 NA NA "corsica_neo"
"777" "date" -5431.54254972546 380 -5609.5 -5229.5 100.9 NA NA "corsica_neo"
"796" "date" -5564.38494806829 230 -5704.5 -5474.5 104.8 NA NA "corsica_neo"
"Corsica_neo_phase" "model" NA NA NA NA NA NA NA "corsica_neo"
"Corsica_neo_end" "date" -5103.85265584376 315 -5249.5 -4934.5 NA NA NA "corsica_neo"
